Model,Codec,Level,Ethnic,raw_genuine_mean (%),std_genuine (percentage points),raw_impostor_mean (%),std_impostor (percentage points),norm_genuine_mean,norm_impostor_mean,FRR (%),FAR (%),EER (%),Threshold (normalized score),Macro-Average EER (%),SER
arcface,NONE,L0,Malay,100.00,0.00,15.46,9.83,8.60,0.00,0.00,0.00,0.00,8.60,0.00,
arcface,NONE,L0,Chinese,100.00,0.00,12.83,10.46,8.33,0.00,0.00,0.00,0.00,8.33,0.00,
arcface,NONE,L0,Indian,100.00,0.00,13.39,9.84,8.80,0.00,0.00,0.00,0.00,8.80,0.00,
arcface,JPEG,L1,Malay,98.28,1.48,14.70,9.79,8.53,0.00,0.00,0.00,0.00,8.02,0.00,
arcface,JPEG,L1,Chinese,96.08,2.02,11.05,10.25,8.30,0.00,0.00,0.00,0.00,7.75,0.00,
arcface,JPEG,L1,Indian,97.13,1.96,12.38,9.85,8.60,0.00,0.00,0.00,0.00,8.02,0.00,
arcface,JPEG,L2,Malay,93.37,2.23,13.58,9.53,8.37,0.00,0.00,0.00,0.00,7.79,0.00,
arcface,JPEG,L2,Chinese,93.41,1.86,10.45,10.12,8.20,0.00,0.00,0.00,0.00,7.64,0.00,
arcface,JPEG,L2,Indian,93.62,2.71,11.77,9.76,8.38,0.00,0.00,0.00,0.00,7.45,0.00,
arcface,JPEG,L3,Malay,87.67,3.19,12.91,9.26,8.07,0.00,0.00,0.00,0.00,7.19,0.00,
arcface,JPEG,L3,Chinese,87.36,2.81,10.01,9.83,7.87,0.00,0.00,0.00,0.00,7.12,0.00,
arcface,JPEG,L3,Indian,87.90,5.12,11.50,9.66,7.91,0.00,0.00,0.00,0.00,6.02,0.00,
arcface,JPEG,L4,Malay,74.67,5.99,12.44,8.98,6.93,0.00,0.00,0.00,0.00,4.93,0.62,
arcface,JPEG,L4,Chinese,73.90,5.65,9.39,9.67,6.67,0.00,0.00,0.00,0.00,4.83,0.62,
arcface,JPEG,L4,Indian,74.70,10.29,10.93,9.45,6.75,0.00,1.85,1.85,1.85,3.80,0.62,
arcface,JPEG,L5,Malay,37.83,11.21,9.53,7.55,3.75,0.00,7.41,7.41,7.41,1.47,10.16,4.08
arcface,JPEG,L5,Chinese,38.26,10.20,7.24,8.02,3.87,0.00,4.54,4.54,4.54,1.70,10.16,4.08
arcface,JPEG,L5,Indian,34.12,17.82,7.97,8.07,3.24,0.00,18.52,18.52,18.52,0.89,10.16,4.08
arcface,JXL,L1,Malay,99.18,0.71,14.99,9.86,8.54,0.00,0.00,0.00,0.00,8.29,0.00,
arcface,JXL,L1,Chinese,97.82,1.90,11.66,10.38,8.30,0.00,0.00,0.00,0.00,7.64,0.00,
arcface,JXL,L1,Indian,98.17,1.56,12.65,9.86,8.67,0.00,0.00,0.00,0.00,8.22,0.00,
arcface,JXL,L2,Malay,96.21,1.68,14.06,9.70,8.47,0.00,0.00,0.00,0.00,8.01,0.00,
arcface,JXL,L2,Chinese,94.64,1.86,10.68,10.20,8.24,0.00,0.00,0.00,0.00,7.71,0.00,
arcface,JXL,L2,Indian,95.34,2.09,11.95,9.79,8.52,0.00,0.00,0.00,0.00,7.86,0.00,
arcface,JXL,L3,Malay,93.72,2.03,13.73,9.66,8.28,0.00,0.00,0.00,0.00,7.74,0.00,
arcface,JXL,L3,Chinese,95.47,1.78,11.60,10.38,8.08,0.00,0.00,0.00,0.00,7.65,0.00,
arcface,JXL,L3,Indian,94.19,2.56,12.10,9.73,8.43,0.00,0.00,0.00,0.00,6.99,0.00,
arcface,JXL,L4,Malay,84.76,3.65,14.71,9.59,7.30,0.00,0.00,0.00,0.00,6.36,0.00,
arcface,JXL,L4,Chinese,84.60,4.46,11.93,10.18,7.14,0.00,0.00,0.00,0.00,5.91,0.00,
arcface,JXL,L4,Indian,84.34,6.53,12.64,9.78,7.33,0.00,0.00,0.00,0.00,3.96,0.00,
arcface,JXL,L5,Malay,77.62,5.77,14.35,9.51,6.65,0.00,0.00,0.00,0.00,4.59,0.62,
arcface,JXL,L5,Chinese,76.31,5.54,11.15,9.84,6.62,0.00,0.00,0.00,0.00,5.10,0.62,
arcface,JXL,L5,Indian,77.12,8.95,12.31,9.66,6.71,0.00,1.85,1.85,1.85,2.95,0.62,
arcface,HEIC,L1,Malay,99.62,0.11,15.45,9.82,8.57,0.00,0.00,0.00,0.00,8.54,0.00,
arcface,HEIC,L1,Chinese,99.70,0.12,12.80,10.46,8.31,0.00,0.00,0.00,0.00,8.27,0.00,
arcface,HEIC,L1,Indian,99.60,0.17,13.35,9.85,8.76,0.00,0.00,0.00,0.00,8.70,0.00,
arcface,HEIC,L2,Malay,99.53,0.12,15.41,9.82,8.57,0.00,0.00,0.00,0.00,8.53,0.00,
arcface,HEIC,L2,Chinese,99.55,0.17,12.75,10.46,8.30,0.00,0.00,0.00,0.00,8.24,0.00,
arcface,HEIC,L2,Indian,99.47,0.19,13.20,9.84,8.77,0.00,0.00,0.00,0.00,8.70,0.00,
arcface,HEIC,L3,Malay,98.35,0.52,15.17,9.80,8.49,0.00,0.00,0.00,0.00,8.27,0.00,
arcface,HEIC,L3,Chinese,98.45,0.46,12.58,10.50,8.17,0.00,0.00,0.00,0.00,8.00,0.00,
arcface,HEIC,L3,Indian,98.08,1.39,12.88,9.85,8.64,0.00,0.00,0.00,0.00,7.75,0.00,
arcface,HEIC,L4,Malay,93.89,1.46,14.82,9.82,8.06,0.00,0.00,0.00,0.00,7.59,0.00,
arcface,HEIC,L4,Chinese,93.81,1.83,12.36,10.47,7.78,0.00,0.00,0.00,0.00,7.41,0.00,
arcface,HEIC,L4,Indian,93.59,2.27,13.09,9.93,8.11,0.00,0.00,0.00,0.00,7.27,0.00,
arcface,HEIC,L5,Malay,86.90,3.29,14.83,9.71,7.42,0.00,0.00,0.00,0.00,6.58,0.00,
arcface,HEIC,L5,Chinese,86.44,3.70,11.99,10.32,7.21,0.00,0.00,0.00,0.00,6.30,0.00,
arcface,HEIC,L5,Indian,86.28,5.66,13.09,10.03,7.30,0.00,0.00,0.00,0.00,4.15,0.00,
magface,NONE,L0,Malay,100.00,0.00,37.00,13.65,4.61,0.00,0.00,0.00,0.00,4.61,0.00,
magface,NONE,L0,Chinese,100.00,0.00,31.99,11.16,6.09,0.00,0.00,0.00,0.00,6.09,0.00,
magface,NONE,L0,Indian,100.00,0.00,47.20,15.98,3.30,0.00,0.00,0.00,0.00,3.30,0.00,
magface,JPEG,L1,Malay,99.67,0.27,37.00,13.64,4.59,0.00,0.00,0.00,0.00,4.51,0.00,
magface,JPEG,L1,Chinese,99.70,0.14,31.90,11.16,6.08,0.00,0.00,0.00,0.00,6.04,0.00,
magface,JPEG,L1,Indian,99.79,0.17,47.16,15.88,3.31,0.00,0.00,0.00,0.00,3.26,0.00,
magface,JPEG,L2,Malay,99.50,0.60,37.02,13.60,4.59,0.00,0.00,0.00,0.00,4.33,0.00,
magface,JPEG,L2,Chinese,99.57,0.21,31.95,11.13,6.08,0.00,0.00,0.00,0.00,6.01,0.00,
magface,JPEG,L2,Indian,99.64,0.31,47.20,15.92,3.29,0.00,0.00,0.00,0.00,3.23,0.00,
magface,JPEG,L3,Malay,97.86,1.37,36.78,13.66,4.47,0.00,0.00,0.00,0.00,3.97,0.00,
magface,JPEG,L3,Chinese,97.66,0.76,31.39,11.14,5.95,0.00,0.00,0.00,0.00,5.82,0.00,
magface,JPEG,L3,Indian,98.47,0.98,46.85,15.98,3.23,0.00,0.00,0.00,0.00,3.07,0.00,
magface,JPEG,L4,Malay,84.72,5.96,35.20,13.22,3.75,0.00,0.91,0.91,0.91,2.39,2.39,7.95
magface,JPEG,L4,Chinese,81.70,6.66,30.06,11.13,4.64,0.00,0.70,0.70,0.70,3.02,2.39,7.95
magface,JPEG,L4,Indian,87.61,7.87,46.56,16.17,2.54,0.00,5.56,5.56,5.56,1.63,2.39,7.95
magface,JPEG,L5,Malay,57.50,17.42,34.41,13.48,1.71,0.00,24.07,24.07,24.07,0.72,23.46,1.27
magface,JPEG,L5,Chinese,50.27,16.78,28.48,12.05,1.81,0.00,20.37,20.37,20.37,0.82,23.46,1.27
magface,JPEG,L5,Indian,70.02,16.66,48.17,15.92,1.37,0.00,25.93,25.93,25.93,0.79,23.46,1.27
magface,JXL,L1,Malay,99.83,0.11,37.03,13.64,4.60,0.00,0.00,0.00,0.00,4.57,0.00,
magface,JXL,L1,Chinese,99.85,0.06,32.05,11.16,6.07,0.00,0.00,0.00,0.00,6.06,0.00,
magface,JXL,L1,Indian,99.87,0.15,47.24,15.94,3.30,0.00,0.00,0.00,0.00,3.25,0.00,
magface,JXL,L2,Malay,99.68,0.16,37.01,13.64,4.59,0.00,0.00,0.00,0.00,4.56,0.00,
magface,JXL,L2,Chinese,99.71,0.11,31.97,11.13,6.08,0.00,0.00,0.00,0.00,6.05,0.00,
magface,JXL,L2,Indian,99.75,0.21,47.24,15.89,3.30,0.00,0.00,0.00,0.00,3.26,0.00,
magface,JXL,L3,Malay,97.66,1.11,37.03,13.69,4.43,0.00,0.00,0.00,0.00,4.25,0.00,
magface,JXL,L3,Chinese,97.76,1.00,32.26,11.18,5.86,0.00,0.00,0.00,0.00,5.60,0.00,
magface,JXL,L3,Indian,98.63,1.10,47.57,15.92,3.21,0.00,0.00,0.00,0.00,2.82,0.00,
magface,JXL,L4,Malay,86.13,5.84,37.61,13.37,3.63,0.00,1.29,1.29,1.29,2.31,1.92,4.82
